magaza,smape_val,kapsama_val,n_val,smape_test,kapsama_test,kapali,eski_kapi_test
369,7.22,80.0,33,6.78,75.0,False,False
370,7.0,82.61,33,7.36,91.67,False,False
371,8.35,70.43,33,5.65,91.67,False,False
372,8.21,66.96,33,5.92,91.67,False,False
373,8.97,69.57,33,8.0,79.17,False,False
374,5.61,83.19,34,5.8,87.5,False,False
375,8.15,84.03,34,6.27,87.5,False,False
376,7.64,72.27,34,5.97,91.67,False,False
377,6.84,86.55,34,9.31,79.17,False,False
378,7.2,80.0,33,9.14,75.0,False,False
379,7.67,80.67,34,8.35,70.83,False,False
380,7.43,75.65,33,8.06,75.0,False,False
381,4.73,92.44,34,3.9,100.0,False,False
382,6.25,88.24,34,6.86,75.0,False,False
383,6.32,72.17,33,6.69,70.83,False,False
384,7.61,81.51,34,7.75,75.0,False,False
385,8.12,80.0,33,6.01,100.0,False,False
386,8.08,81.74,33,5.81,95.83,False,False
387,8.24,73.04,33,11.1,54.17,False,True
388,5.22,80.87,33,5.8,83.33,False,False
389,5.0,85.71,34,6.47,79.17,False,False
390,6.21,74.79,34,6.31,83.33,False,False
391,6.78,86.09,33,10.58,66.67,False,True
392,5.88,83.48,33,8.72,75.0,False,False
393,7.75,78.26,33,8.97,79.17,False,False
394,7.64,81.74,33,6.32,75.0,False,False
395,7.71,75.65,33,7.9,75.0,False,False
396,6.64,87.39,34,7.18,87.5,False,False
397,7.6,78.26,33,8.5,83.33,False,False
398,6.89,89.08,34,8.23,79.17,False,False
399,7.89,71.3,33,6.81,75.0,False,False
400,5.92,93.28,34,7.27,79.17,False,False
401,7.87,80.67,34,7.38,87.5,False,False
402,9.42,72.27,34,9.6,75.0,False,False
403,8.92,66.96,33,5.04,91.67,False,False
404,7.11,81.74,33,6.15,91.67,False,False
405,7.56,77.39,33,8.19,83.33,False,False
406,6.89,91.3,33,8.72,75.0,False,False
407,7.69,81.74,33,9.34,75.0,False,False
408,6.07,87.83,33,9.23,79.17,False,False
409,9.76,61.74,33,9.36,70.83,True,False
410,8.08,79.13,33,7.05,75.0,False,False
411,6.24,89.57,33,8.0,75.0,False,False
412,8.36,79.13,33,9.21,83.33,False,False
413,5.88,81.74,33,8.14,70.83,False,False
414,7.15,86.96,33,7.64,79.17,False,False
415,27.01,45.38,34,9.1,70.83,True,False
416,5.28,86.55,34,4.9,91.67,False,False
417,8.93,68.7,33,10.33,58.33,False,True
418,7.66,84.35,33,7.69,91.67,False,False
419,7.12,78.99,34,7.83,79.17,False,False
420,7.54,86.09,33,9.25,75.0,False,False
421,8.63,88.24,34,12.83,79.17,False,False
422,7.18,69.75,34,7.68,70.83,False,False
423,9.02,85.71,40,7.84,92.86,False,False
424,7.48,84.35,33,7.97,75.0,False,False
425,6.35,82.61,33,10.61,62.5,False,True
426,7.19,79.13,33,5.19,87.5,False,False
427,7.61,80.87,33,14.4,54.17,False,True
428,9.38,58.26,33,8.08,75.0,True,False
429,8.06,79.13,33,6.07,83.33,False,False
430,9.43,58.26,33,6.85,75.0,True,False
431,6.55,77.39,33,4.39,91.67,False,False
432,4.43,95.8,34,9.4,58.33,False,True
433,9.95,85.71,40,13.26,67.86,False,True
434,6.38,85.22,33,7.67,79.17,False,False
435,7.96,70.43,33,8.13,79.17,False,False
436,6.39,83.19,34,5.73,87.5,False,False
437,12.87,78.15,34,14.41,66.67,False,True
438,10.45,60.5,34,7.25,91.67,True,False
439,6.47,87.39,34,6.67,83.33,False,False
440,7.76,81.74,33,7.25,79.17,False,False
441,7.94,88.7,33,7.55,87.5,False,False
442,7.77,86.09,33,8.8,87.5,False,False
443,7.23,77.31,34,8.26,66.67,False,True
444,7.69,83.19,34,7.94,95.83,False,False
445,8.13,90.43,33,9.6,70.83,False,False
446,8.43,75.65,33,8.32,83.33,False,False
447,5.01,84.03,34,6.34,79.17,False,False
448,6.18,81.74,33,6.04,87.5,False,False
449,6.79,81.74,33,8.73,75.0,False,False
450,8.95,75.65,33,11.0,70.83,False,False
451,7.95,73.91,33,6.77,87.5,False,False
452,6.46,89.08,34,6.22,91.67,False,False
453,11.12,89.29,40,15.55,78.57,False,False
454,7.8,92.44,34,8.15,100.0,False,False
455,8.35,90.43,33,10.04,75.0,False,False
456,7.77,71.3,33,8.89,75.0,False,False
457,7.19,86.09,33,7.03,79.17,False,False
458,8.35,80.0,33,10.91,70.83,False,False
459,5.79,89.92,34,6.8,79.17,False,False
460,7.73,93.28,34,9.9,75.0,False,False
461,9.69,72.17,33,9.65,75.0,False,False
462,7.28,91.6,34,10.13,70.83,False,False
463,9.03,67.83,33,8.75,75.0,False,False
464,6.75,88.24,34,6.09,100.0,False,False
465,7.28,78.26,33,8.0,75.0,False,False
466,6.5,82.61,33,8.81,66.67,False,True
467,7.54,79.13,33,9.14,75.0,False,False
468,8.16,89.92,34,13.29,79.17,False,False
469,6.95,83.19,34,4.74,95.83,False,False
470,6.05,86.96,33,7.76,83.33,False,False
471,7.07,77.39,33,7.41,70.83,False,False
472,6.63,78.99,34,7.29,70.83,False,False
473,5.81,86.09,33,8.63,83.33,False,False
474,6.83,73.95,34,8.0,75.0,False,False
475,6.86,82.61,33,7.9,70.83,False,False
476,6.59,93.28,34,5.88,95.83,False,False
477,8.46,68.7,33,6.42,83.33,False,False
478,6.77,83.19,34,5.35,91.67,False,False
479,6.1,86.55,34,9.5,70.83,False,False
480,7.26,78.15,34,6.7,87.5,False,False
481,6.68,88.7,33,9.38,70.83,False,False
482,6.15,94.96,34,7.05,95.83,False,False
483,10.05,82.35,34,9.24,79.17,False,False
484,5.94,91.6,34,7.68,91.67,False,False
485,7.32,80.0,33,8.08,70.83,False,False
486,6.38,86.09,33,8.86,75.0,False,False
487,5.47,89.92,34,9.36,62.5,False,True
488,8.38,73.95,34,7.91,75.0,False,False
489,8.48,90.76,34,6.11,91.67,False,False
490,5.47,82.61,33,4.73,83.33,False,False
